feature,RF,GB,LR,Perm,mean
expected_pickup_time,1.0,0.45136586223489944,1.0,0.25363544132566784,0.6762503258901418
prefers_pickup,0.79035085133422,0.5583455124258104,0.6460422645710906,0.3550896178559348,0.5874570615467639
max_price,0.9421093389330287,0.5866449893798904,0.12043756269837805,0.557997970916469,0.5517974654819415
orders_per_month,0.5084863837534898,0.3948630625987821,0.27221889839860647,0.980723706459249,0.5390730128025318
price_flexibility,0.7597450543683333,1.0,0.20162582027184828,0.0,0.4903427186600454
imp_foldability,0.5267651226780816,0.42425264434482174,0.41467740028334027,0.4734528238079129,0.45978699777853915
willing_drive_pickup,0.6630761174262721,0.2761487093928275,0.19572274621888913,0.6087250591816025,0.4359181580548978
imp_crust,0.40466344134217114,0.43110654646740876,0.34356199006222393,0.5410889414947577,0.4301052298416404
willing_wait_delivery,0.6095384304396105,0.2370894488621869,0.1225736425926473,0.7101792357118696,0.41984518940157856
has_transport,0.3233398203167994,0.036128568208395245,0.16587388320993218,0.9807237064592492,0.37651649454859404
expected_price,0.5950379148181879,0.27224540489015336,0.34038581081779967,0.15218126479540062,0.3399625988303854
orders_online,0.5804719937065047,0.21297562111842894,0.3883597867946293,0.08454514710855594,0.3165881371820297
prefers_delivery,0.3832806895546934,0.0,0.06540989093472642,0.7778153533987142,0.30662648347203353
on_campus,0.46346122073243484,0.0010840744246650388,0.25003825833460064,0.4565437943862017,0.2927818369694755
expected_delivery_time,0.4507481052019161,0.023419262779164677,0.4706933894901701,0.16909029421711172,0.27848776292209065
price_over_location,0.4263496564317436,0.060655815530254,0.32913442928443504,0.28745350016908994,0.27589835035388066
age,0.3172852997317905,0.1434235051308695,0.3408532985417411,0.25363544132566757,0.2637993861825172
imp_balance,0.2781942779225399,0.040161703589964626,0.20655544963085795,0.49036185322962395,0.2538183210932466
imp_freshness,0.3056707425133609,0.10416856370369225,0.13687321591588153,0.43963476496449044,0.2465868217743563
imp_ingredients,0.23087676295348453,0.018689127202446955,0.1177503195365402,0.6087250591816024,0.2440103172185185
imp_appearance,0.18320150112809044,0.02426254445960681,0.47402344842335553,0.28745350016908994,0.2422352485450357
imp_price,0.18297869207676223,0.01710620332713106,0.42595911599895914,0.28745350016908994,0.2283743778929856
year_numeric,0.3492464427140365,0.038106048809332556,0.10623197987010878,0.3719986472776458,0.2163957796677809
deal_sensitivity,0.24682070551778584,0.23727428196386563,0.09019440265419933,0.28745350016908994,0.21543572257623517
imp_topping_variety,0.21321735947260687,0.029967089479320915,0.3835352070894027,0.1859993236388229,0.20317974492003835
imp_special,0.22744670259825545,0.11805196261163305,0.16949257755063663,0.28745350016908994,0.20061118573240377
imp_taste,0.12368385250727403,0.03508382373101718,0.13426688763067726,0.4565437943862017,0.1873945895637925
imp_convenience,0.22193299194797902,0.03354859995857332,0.06489983481652489,0.28745350016908994,0.1519587317230418
