Restaurant,Type,N,Share,Loyalty,Profile_Match,Local_Capture,Share_Score,Loyalty_Score,Composite
Domino's Pizza,Chain,44,27.32919254658385,2.0681818181818183,96.96875,65.0,100.0,26.70454545454546,73.91832386363637
Joe's Brooklyn Pizza,Local,15,9.316770186335404,2.2,88.88541666666667,100.0,34.09090909090909,30.000000000000004,59.9486268939394
Little Caesars,Chain,9,5.590062111801243,2.6666666666666665,89.33680555555556,100.0,20.454545454545457,41.666666666666664,58.8872316919192
Costco Pizza,Chain,16,9.937888198757763,1.625,92.21875,100.0,36.36363636363636,15.625,57.87002840909091
Mark's Pizzeria,Local,9,5.590062111801243,2.7777777777777777,93.07291666666667,85.71428571428571,20.454545454545457,44.44444444444444,57.65856105699855
Salvatore's Pizza,Local,12,7.453416149068323,1.8333333333333333,88.51041666666667,100.0,27.27272727272727,20.833333333333332,55.51775568181818
Pontillo's Pizza,Local,5,3.1055900621118013,2.4,87.90625,100.0,11.363636363636363,35.0,54.13565340909091
Blaze Pizza,Chain,7,4.3478260869565215,1.4285714285714286,83.27232142857143,100.0,15.909090909090908,10.714285714285715,48.26937905844156
Papa John's,Chain,11,6.832298136645963,1.3636363636363635,92.66761363636364,62.5,25.0,9.090909090909088,45.43963068181818
Pizza Hut,Chain,5,3.1055900621118013,2.0,86.34375,50.0,11.363636363636363,25.0,41.24502840909091
