Feature,Importance
max_price,0.1037396033157939
willing_pickup,0.09828176657732181
exp_pickup,0.09365775278133932
willing_delivery,0.09238942885692525
expected_price,0.08493463975373733
price_flexibility,0.08099648227811207
orders_month,0.05460449450694308
exp_delivery,0.04701873842307952
Q5_5_score,0.03952676878430364
Q5_3_score,0.03555631205606184
Q5_6_score,0.034799716137041206
has_transport,0.03447308530383797
Q5_2_score,0.03313061990851309
prefers_pickup,0.03195488454029791
Q5_7_score,0.031004896342782574
Q5_8_score,0.027768628645394807
Q5_9_score,0.022215762653535743
Q5_4_score,0.022141689141585395
Q5_1_score,0.017774578549958543
prefers_delivery,0.014030151443434986
