Factor,Mean,Std,Pct_High,N,Weight,Rank
Taste & Flavor,4.44375,0.6013284559620354,94.375,160,14.070849000593707,1
Balance,3.96875,0.9804496144835187,71.25,160,12.566792004749654,2
Crust,3.8625,1.0490336973201613,64.375,160,12.230358203047695,3
Freshness,3.83125,1.1001536485030012,65.625,160,12.13140708490006,4
Price,3.8,0.9028257526359346,66.875,160,12.032455966752424,5
Ingredients,3.5,0.8831048713694643,48.125,160,11.08252523253513,6
Convenience,3.15,1.0769161655732333,40.0,160,9.974272709281616,7
Appearance,2.7375,1.072747017484557,26.875,160,8.668117949732833,8
Special Features,2.2875,1.1348537710916795,13.750000000000002,160,7.243221848406887,9
